_id,title,language,format,screening_count
4482,Imię.,german,IMAX,92
4152,Klub stosunek.,english,3D,92
1416,Kontakt kosz.,german,2D,92
4109,Masa rower.,english,IMAX,92
9631,Mocno byk.,english,IMAX,92
1605,Myśl wrogość.,english,2D,92
4624,Naczynie.,polish,IMAX,92
6345,Naj-.,german,3D,92
5212,Naród 80.,spanish,IMAX,92
8039,Obiad umysł.,english,3D,92
7379,Pewien.,german,IMAX,92
6765,Pokój oni.,polish,IMAX,92
7212,Polak.,german,3D,92
8266,Pomidor.,german,2D,92
3010,Przestać mocno.,english,3D,92
4481,Siła.,english,IMAX,92
2659,Strona projekt.,polish,IMAX,92
1376,Sylaba.,spanish,IMAX,92
6780,Szczęśliwy.,english,3D,92
561,Sztuka spotkać.,english,2D,92
5730,Więcej łyżka.,german,3D,92
2730,Żeby przeprowadzać.,german,2D,92
2887,Abugida.,polish,3D,91
43,Ciekawy banknot.,german,2D,91
6756,Ciepły poruszać się.,polish,3D,91
950,Go głowa.,polish,2D,91
4086,Grecja.,polish,IMAX,91
1926,I.,spanish,2D,91
6187,Lis liczba.,spanish,IMAX,91
7624,Liść mówić.,german,2D,91
8331,Ładny otaczać.,spanish,IMAX,91
2067,Metal mózg.,spanish,3D,91
5816,Mieć pomóc.,spanish,3D,91
3828,Miejski dziecięcy.,polish,IMAX,91
9265,Możliwy dobry.,spanish,IMAX,91
2970,Np. chyba.,polish,2D,91
9614,Oba.,polish,3D,91
9846,Palec grzyb.,english,3D,91
4084,Pasmo.,polish,2D,91
7355,Po robotnik.,german,IMAX,91
4711,Poczta wychodzić.,polish,IMAX,91
5680,Przestępstwo.,spanish,3D,91
9818,Rosja mrówka.,english,2D,91
6111,Rumunia ty.,german,3D,91
9910,Składać Się.,english,3D,91
4478,Słoneczny anioł.,polish,2D,91
9060,Srebrny piąty.,polish,3D,91
4667,Stawiać.,english,IMAX,91
109,Syn trochę.,polish,2D,91
4064,Tajemnica zanim.,german,3D,91
305,Taniec.,polish,IMAX,91
3717,Tytuł.,polish,3D,91
6964,Umieć coś.,english,2D,91
8799,Wola ten sam.,german,2D,91
3085,Wybór.,german,2D,91
4654,Wywoływać bilet.,german,2D,91
1541,Zakon.,spanish,IMAX,91
6647,Zawsze.,polish,IMAX,91
2418,Źródło.,german,3D,91
2297,60 30.,polish,IMAX,90
1347,70 ponownie.,polish,3D,90
7529,Bawić Się.,german,IMAX,90
7458,Bułgarski.,german,2D,90
5172,Czasownik.,german,3D,90
2677,Część.,english,IMAX,90
9898,Członek między.,german,IMAX,90
1529,Doprowadzić.,english,IMAX,90
3123,Dziewięć.,spanish,2D,90
1248,Gałąź.,german,IMAX,90
415,Gaz.,german,IMAX,90
7853,Granica umieć.,spanish,2D,90
910,Itp. węgiel.,english,2D,90
5628,Jajo interes.,english,IMAX,90
5468,Lekcja.,polish,3D,90
834,Liczyć świnia.,spanish,3D,90
3475,Mięso na zewnątrz.,english,2D,90
2573,Minuta lecz.,spanish,2D,90
8759,No.,english,2D,90
9880,Obowiązek rzucać.,german,3D,90
6410,Obrót.,english,3D,90
3003,Osiągnąć piec.,german,2D,90
9540,Pamięć ból.,polish,IMAX,90
9353,Podawać.,spanish,IMAX,90
1434,Podział późny.,spanish,IMAX,90
3821,Pokonać.,spanish,3D,90
3794,Położyć.,spanish,3D,90
65,Potrafić grób.,english,2D,90
6716,Późny.,polish,3D,90
1168,Późny.,polish,3D,90
1458,Promień imię.,german,2D,90
6455,Próbować gniazdo.,polish,2D,90
8601,Różowy podobny.,spanish,2D,90
8525,Siódmy.,german,2D,90
180,Słoń sukienka.,polish,2D,90
1127,Słowacki łączyć.,polish,IMAX,90
4501,Słuchać.,english,3D,90
6899,Słyszeć bogaty.,spanish,2D,90
5648,Spokojny umiejętność.,german,IMAX,90
2862,Srebro przyczyna.,english,2D,90
2797,Stosunek mieszkaniec.,english,2D,90
9461,Styczeń nadmierny.,spanish,IMAX,90
7522,Szczyt Francja.,polish,2D,90
4677,Transport.,spanish,3D,90
5282,Trudność rząd.,polish,IMAX,90
6613,Urodzić.,spanish,2D,90
9826,Uważać.,spanish,2D,90
9677,Walczyć hodować.,polish,3D,90
1362,Wchodzić.,spanish,2D,90
4793,Wierny nauka.,polish,3D,90
5986,Wieża usuwać.,spanish,2D,90
92,Wydarzenie zmieniać.,german,2D,90
9997,Z Krwi I Kości wrogość.,polish,IMAX,90
6909,Zmarły.,english,2D,90
58,Znów.,english,2D,90
3391,1 polski.,spanish,IMAX,89
6275,20 kolumna.,polish,2D,89
616,8.,english,IMAX,89
2823,Administracyjny waluta.,polish,2D,89
840,Bar wojskowy.,spanish,3D,89
6987,Błoto drugi.,polish,IMAX,89
420,Brzuch kura.,english,3D,89
1587,Całkowicie.,english,3D,89
7364,Cesarz całkowity.,german,3D,89
7905,Chłop równy.,german,3D,89
6704,Ciągle.,english,IMAX,89
3904,Daleki samolot.,polish,2D,89
377,Dar.,english,IMAX,89
2680,Farba.,german,2D,89
9345,Herbata uzyskać.,english,2D,89
1229,Hotel.,english,2D,89
3030,Kraj.,english,2D,89
7605,Mężczyzna poeta.,polish,3D,89
6874,Mieszkanka.,spanish,IMAX,89
2641,Moralny okazja.,english,2D,89
3961,Nagle.,german,2D,89
1830,Niebezpieczeństwo.,polish,3D,89
7791,Niemcy zdanie.,polish,IMAX,89
2484,Obiad.,german,IMAX,89
5656,Obywatelka.,spanish,2D,89
3655,Odcinek.,spanish,3D,89
9995,Pacjent.,spanish,3D,89
6746,Pięć.,german,3D,89
6448,Pismo poduszka.,polish,2D,89
5057,Płyn.,german,IMAX,89
8964,Płyta.,english,3D,89
3099,Pochodzić.,polish,2D,89
1983,Polować południowy.,polish,3D,89
8862,Ponieważ toponim.,spanish,3D,89
2602,Produkować.,english,2D,89
7806,Przedmiot przychodzić.,german,2D,89
5873,Przestać.,polish,3D,89
4900,Pytać zaczynać.,english,2D,89
3852,Ryba.,spanish,IMAX,89
1472,Rzucać jedynie.,english,IMAX,89
2763,Słowacja.,spanish,IMAX,89
5150,Staw.,german,3D,89
6017,Staw.,polish,2D,89
5911,Sukienka.,english,3D,89
9260,Szeroki.,spanish,2D,89
8032,Ściana towar.,english,IMAX,89
2582,Świecić.,german,IMAX,89
1786,Temu pozycja.,english,3D,89
8447,Trudno urząd.,german,2D,89
2307,Tutaj.,english,IMAX,89
5649,Tworzyć zapis.,german,2D,89
174,Tysiąc wieczór.,spanish,2D,89
7535,Układ.,polish,IMAX,89
7025,Uznawać starożytny.,polish,3D,89
6988,Uznawać.,english,3D,89
6318,Wątpliwość.,polish,2D,89
5281,Wesoły nadawać.,polish,3D,89
6640,Wewnątrz budynek.,polish,2D,89
1384,Wierzyć działanie.,english,IMAX,89
4209,Wino wśród.,spanish,3D,89
914,Władca jako.,english,2D,89
3380,Wspólnota papież.,polish,2D,89
1823,Wybrać.,spanish,2D,89
3570,Zając chyba.,polish,3D,89
9343,Zakończenie.,english,IMAX,89
1871,Złodziej.,english,IMAX,89
1092,Znaleźć ta.,english,IMAX,89
5912,Znowu strefa.,spanish,IMAX,89
8517,Znów.,spanish,2D,89
9750,Żółty.,polish,2D,89
7661,Życie 40.,polish,3D,89
7567,- przez.,polish,3D,88
4833,60 przeprowadzać.,english,IMAX,88
2110,Adres.,polish,3D,88
4670,Aktor dodatkowy.,spanish,3D,88
1004,Babcia wybrzeże.,english,IMAX,88
1905,Bronić.,german,IMAX,88
8332,Całkiem opłata.,english,3D,88
1732,Chiński źródło.,english,3D,88
5458,Ciąża trzeci.,german,3D,88
9594,Cisza w.,english,IMAX,88
5616,Co.,german,3D,88
8714,Coraz orzeł.,spanish,2D,88
5975,Coś.,german,2D,88
4465,Czekać dziedzina.,spanish,2D,88
7229,Czekolada.,polish,IMAX,88
6858,Częściowo narzędzie.,german,3D,88
9253,Dar.,german,2D,88
7781,Dobrze.,polish,3D,88
1360,Dokonywać.,english,IMAX,88
9413,Dziedzina.,german,3D,88
7153,Dzisiaj but.,polish,2D,88
9624,Fakt.,spanish,IMAX,88
812,Głos znać.,german,IMAX,88
5758,Godny.,german,3D,88
5034,Herb.,english,3D,88
873,Istotny czynić.,english,3D,88
34,Kontynent.,spanish,3D,88
4759,Kość.,polish,3D,88
9993,Kula.,spanish,2D,88
2877,Literatura sala.,spanish,3D,88
9266,Literatura stracić.,english,IMAX,88
9699,Łódź.,polish,3D,88
4696,Małpa przyjaciel.,english,3D,88
804,Natychmiast fotografia.,polish,2D,88
9606,Niektóry.,english,IMAX,88
3093,Noga.,german,3D,88
5465,Obecny zespół.,polish,3D,88
2401,Ojczyzna.,polish,3D,88
864,Palec.,german,3D,88
6324,Pierwiastek Chemiczny.,english,IMAX,88
8708,Pięć fotografia.,english,IMAX,88
9423,Plecy.,spanish,3D,88
3955,Południe.,polish,2D,88
3124,Pomagać dodatek.,polish,3D,88
6724,Porządek.,spanish,3D,88
4135,Posługiwać Się.,spanish,3D,88
7330,Powstanie.,polish,IMAX,88
6645,Poza.,english,IMAX,88
4535,Prawie piętnaście.,german,2D,88
2181,Przestępstwo.,german,3D,88
5054,Punkt but.,spanish,2D,88
7670,Rodzina.,polish,3D,88
7622,Rozmawiać wino.,english,IMAX,88
5102,Rysunek lub.,english,IMAX,88
5182,Rzadko.,english,3D,88
3840,Samochód malować.,english,2D,88
6224,Służyć.,german,3D,88
6992,Sposób.,english,IMAX,88
4827,Strumień.,polish,3D,88
5249,Suma.,german,2D,88
8824,Symbol obraz.,english,IMAX,88
4151,Szczególnie.,german,2D,88
5619,Sześćdziesiąt.,english,3D,88
1330,Szwedzki.,polish,3D,88
6893,Śmiech ilość.,polish,IMAX,88
8917,Środek.,spanish,2D,88
8726,Tam.,spanish,IMAX,88
6070,Temat kaczka.,english,3D,88
1575,Tradycja przeszłość.,spanish,3D,88
5666,Transport idea.,polish,2D,88
1574,Urodziny.,polish,3D,88
5784,Usuwać siedem.,spanish,2D,88
1303,Wczesny.,german,3D,88
7131,Wiatr.,spanish,3D,88
9738,Własny wykorzystywać.,english,IMAX,88
3745,Włosy cecha.,german,3D,88
153,Wynik dawno.,german,IMAX,88
2011,Zakładać.,german,IMAX,88
5311,Zakończenie.,english,IMAX,88
9477,Zamek 80.,spanish,3D,88
5181,Zamieszkiwać.,polish,IMAX,88
6705,Zazwyczaj.,spanish,3D,88
9859,Związany zły.,spanish,IMAX,88
3523,Zwolennik wstyd.,polish,IMAX,88
8293,– dym.,polish,3D,87
4748,Akt.,spanish,IMAX,87
8655,Aktor pociąg.,polish,2D,87
7878,Aktywny pokazywać.,polish,3D,87
6467,Alkohol.,german,3D,87
5931,Bajka.,spanish,2D,87
8195,Bank.,spanish,IMAX,87
1788,Bank.,polish,3D,87
3021,Barwa.,spanish,IMAX,87
951,Bić zegar.,polish,IMAX,87
3833,Bogini.,german,IMAX,87
4288,Chłop średniowieczny.,english,IMAX,87
2839,Choroba.,polish,2D,87
7794,Członek.,english,2D,87
7757,Czy.,english,IMAX,87
4754,Czy.,german,IMAX,87
9100,Dać Się 90.,spanish,2D,87
5080,Diabeł żydowski.,polish,3D,87
1370,Dlatego pies.,german,2D,87
717,Dokładny.,english,IMAX,87
38,Drewniany.,german,IMAX,87
2554,Dusza zaraz.,german,2D,87
3664,Duży.,german,3D,87
7580,Egipt gatunek.,english,2D,87
1148,Epoka.,spanish,3D,87
3486,Gęsty pragnienie.,spanish,2D,87
5925,Głupek obcy.,english,3D,87
1029,Gospodarczy prowadzić.,spanish,IMAX,87
5804,Grecja też.,german,IMAX,87
4147,Grzech Węgry.,polish,IMAX,87
1078,Handel.,polish,2D,87
9546,Herb kot.,spanish,2D,87
3561,Inny wewnątrz.,english,3D,87
3756,Interes kij.,polish,2D,87
9841,Jadalny.,polish,2D,87
4774,Jedynie.,german,IMAX,87
550,Jedzenie.,english,3D,87
7738,Kanał.,german,IMAX,87
8012,Kapelusz szwedzki.,polish,IMAX,87
3533,Kraina praca.,german,IMAX,87
3053,Kultura.,german,IMAX,87
7921,Lecieć.,english,3D,87
8210,Lecz opieka.,english,3D,87
5932,Linia.,polish,IMAX,87
7655,List piękny.,german,3D,87
2910,Lud jezioro.,english,IMAX,87
8672,Łódź.,spanish,IMAX,87
9444,Mądry jeździć.,english,2D,87
9962,Metalowy umieszczać.,english,3D,87
98,Miasto termin.,german,2D,87
2331,Miesiąc.,spanish,IMAX,87
601,Mieszkanie nadzieja.,german,3D,87
172,Mnóstwo podłoga.,german,IMAX,87
9451,Móc miara.,german,IMAX,87
4601,Musieć prąd.,german,3D,87
7277,Myśleć wieczór.,polish,3D,87
6658,Nagle wewnętrzny.,polish,2D,87
7418,Nieść.,german,IMAX,87
5947,Noga kanał.,polish,2D,87
9634,Obiekt.,spanish,IMAX,87
8197,Otrzymywać treść.,english,IMAX,87
1438,Panna bogaty.,english,3D,87
6202,Panować leżeć.,german,IMAX,87
8328,Para.,spanish,3D,87
5919,Pas.,polish,IMAX,87
2563,Pieśń sposób.,polish,IMAX,87
4347,Pisarz tył.,german,IMAX,87
9828,Płakać.,spanish,2D,87
5126,Pomysł do.,german,IMAX,87
3948,Powolny.,english,2D,87
427,Powstanie gleba.,polish,2D,87
871,Pozostać.,german,2D,87
6533,Pracownik akcja.,spanish,IMAX,87
1219,Przedstawienie.,german,IMAX,87
1052,Przyjemny charakter.,polish,2D,87
2452,Radość.,polish,3D,87
8731,Raz kino.,german,IMAX,87
2255,Róża wąż.,polish,IMAX,87
9409,Różnica liczba.,german,3D,87
8961,Rzym.,spanish,3D,87
1981,Samica.,spanish,3D,87
5008,Sądzić.,english,IMAX,87
6018,Sierpień również.,spanish,3D,87
5081,Słońce.,english,2D,87
598,Ssak.,polish,IMAX,87
8931,Tradycja.,german,IMAX,87
7576,Uderzać zamiast.,english,IMAX,87
9771,Uzyskać.,spanish,IMAX,87
4600,Uzyskać.,english,2D,87
260,Wątpliwość nagły.,english,IMAX,87
5186,Węgiel mistrz.,spanish,IMAX,87
778,Wielkość.,polish,2D,87
6445,Więcej.,polish,2D,87
3643,Wioska.,polish,2D,87
9291,Wiosna Afganistan.,german,2D,87
3424,Wydawać Się właściwy.,spanish,2D,87
2046,Wykorzystywać 1.,spanish,IMAX,87
5400,Wysiłek.,german,3D,87
1806,Wystawa.,english,IMAX,87
2790,Z Krwi I Kości.,english,3D,87
1536,Zajmować Się potem.,spanish,3D,87
3323,Zawartość tamten.,polish,IMAX,87
7191,Zawodowy przyjąć.,german,IMAX,87
293,Zdolny.,spanish,2D,87
3958,Zima myśleć.,polish,3D,87
5285,Zima znak.,german,3D,87
2213,Złoty dziesięć.,english,3D,87
1180,Zły.,german,2D,87
9689,Zwłaszcza.,spanish,IMAX,87
7869,Zwykły ćwiczenie.,german,IMAX,87
3589,— czyjś.,german,IMAX,86
8001,50.,spanish,2D,86
8681,Afganistan waluta.,spanish,3D,86
4822,Aktor.,spanish,2D,86
5315,Babcia.,english,IMAX,86
1845,Bieda istnieć.,spanish,2D,86
82,Błoto.,spanish,IMAX,86
4571,Bogactwo sprzedaż.,german,3D,86
7817,Boże Narodzenie.,german,3D,86
564,Brzydki.,english,IMAX,86
4499,Cesarz spór.,polish,3D,86
4941,Chcieć.,polish,IMAX,86
1429,Ciekawy uśmiech.,spanish,2D,86
3836,Cierpieć wzgórze.,english,IMAX,86
4805,Cierpienie.,german,2D,86
1838,Co sobie.,spanish,3D,86
591,Coraz.,spanish,IMAX,86
651,Coś artysta.,english,2D,86
3785,Człowiek umieć.,german,2D,86
7090,Czuć.,english,IMAX,86
6207,Czynnik.,spanish,2D,86
1940,Deszcz.,english,3D,86
4552,Długi samiec.,polish,IMAX,86
9550,Dokładnie.,english,IMAX,86
650,Dokument komputer.,english,3D,86
5381,Drewno drzewo.,polish,3D,86
1793,Drużyna terytorium.,spanish,3D,86
7415,Drzwi ten sam.,german,IMAX,86
9467,Dwa bliski.,german,2D,86
1946,Dziadek.,english,IMAX,86
2757,Dziecko.,english,2D,86
1028,Dziura.,spanish,3D,86
6798,Energia wodny.,german,2D,86
6190,Głowa.,english,2D,86
6327,Gospodarczy.,german,IMAX,86
5328,Górski prowincja.,polish,2D,86
2456,Grudzień.,english,IMAX,86
7283,Gwiazda.,spanish,IMAX,86
6671,Handel wczesny.,english,2D,86
8051,Hotel usługa.,german,IMAX,86
125,Ich.,spanish,2D,86
9298,Jajo bawić się.,spanish,IMAX,86
9479,Jakby trzeba.,spanish,IMAX,86
7413,Japonia.,spanish,2D,86
458,Jednak przyjaciel.,english,IMAX,86
716,Katastrofa.,polish,2D,86
379,Kłaść.,german,2D,86
6955,Kolacja.,german,3D,86
4196,Kościelny tkanina.,german,IMAX,86
4074,Kot.,spanish,2D,86
2804,Kształt.,german,3D,86
4405,Kupować.,spanish,3D,86
1198,Lecieć Polska.,spanish,2D,86
6566,Linia.,polish,IMAX,86
1295,Lista przyjemny.,spanish,2D,86
9988,Lotnisko.,spanish,3D,86
2432,Łóżko.,english,IMAX,86
4918,Małżeństwo.,polish,2D,86
8553,Marka sprawa.,german,3D,86
8553,Marka sprawa.,english,2D,86
187,Matematyka.,polish,IMAX,86
42,Matka.,english,IMAX,86
5371,Mądry.,spanish,2D,86
4973,Miejscowość.,german,2D,86
5419,Mieszkaniec.,polish,2D,86
9926,Miękki stracić.,english,3D,86
839,Morze.,english,IMAX,86
8000,Niebo.,english,2D,86
764,Obecny.,spanish,2D,86
9792,Obywatel zbudować.,spanish,IMAX,86
8376,Od zdolny.,english,3D,86
5264,Oddawać Rosja.,polish,2D,86
7643,Odkryć.,english,IMAX,86
9401,Odległość czerwony.,english,IMAX,86
7971,Operacja przybyć.,english,3D,86
887,Organizacja sztuka.,english,3D,86
9435,Oś.,german,2D,86
7228,Otwierać.,polish,IMAX,86
4046,Pacjent przedmiot.,polish,2D,86
2515,Pająk danie.,spanish,3D,86
2903,Państwo żeby.,english,3D,86
5006,Pisarz szeroki.,polish,IMAX,86
7499,Plemię.,polish,IMAX,86
1989,Pojemnik profesor.,polish,2D,86
6019,Policja.,english,IMAX,86
5425,Pomagać promień.,german,2D,86
9633,Potem.,german,IMAX,86
4403,Późny prostytutka.,english,3D,86
5035,Praktyka.,spanish,3D,86
7162,Prawda uchodzić.,english,2D,86
6781,Prędkość ostatni.,spanish,IMAX,86
4164,Prędkość.,spanish,IMAX,86
6685,Prosić.,spanish,3D,86
8863,Przejaw.,german,IMAX,86
2683,Przejście.,spanish,IMAX,86
1727,Przerwa las.,polish,2D,86
7646,Przyjaciel.,spanish,IMAX,86
3628,Przypominać.,polish,3D,86
2153,Psychiczny niewolnik.,polish,2D,86
2693,Raz.,polish,2D,86
2152,Robotnik.,german,2D,86
4325,Rodzic kontynent.,english,3D,86
4629,Róg.,german,IMAX,86
4620,Sąd osiemdziesiąt.,polish,2D,86
3517,Seksualny.,spanish,2D,86
1357,Skutek.,english,2D,86
9724,Słońce.,spanish,2D,86
2637,Słowacki.,spanish,IMAX,86
8334,Słownik łatwy.,spanish,3D,86
5657,Spadek.,english,2D,86
1103,Sport żołnierz.,german,3D,86
6161,Spotkanie.,german,IMAX,86
3921,Stosować.,spanish,3D,86
6439,Swój krótki.,german,2D,86
8497,Szkodliwy.,english,2D,86
2644,Szkolny.,polish,2D,86
1568,Szybko 10.,english,IMAX,86
2343,Świecić szkolny.,english,2D,86
5168,Świecić.,spanish,3D,86
9838,Świnia.,spanish,3D,86
9058,Tam proszę.,german,3D,86
4888,Tani.,spanish,IMAX,86
6035,Tarcza pies.,polish,IMAX,86
9929,Tłumaczyć ocena.,english,2D,86
7579,Tracić budzić.,english,3D,86
8160,Trudno.,polish,IMAX,86
1106,Tutaj wszyscy.,polish,2D,86
4243,Uchodzić okazja.,polish,IMAX,86
3152,Udać Się znaczyć.,polish,2D,86
9986,Ulica zmieniać.,german,3D,86
2921,Wcześnie zaczynać.,english,3D,86
756,Wilk.,english,IMAX,86
6853,Właściwy imię.,german,3D,86
3252,Wojskowy.,spanish,2D,86
6785,Wolno.,polish,3D,86
7951,Wrócić.,polish,3D,86
7233,Wrzesień.,spanish,2D,86
7321,Wspaniały metalowy.,german,2D,86
8019,Wszystek.,english,3D,86
3469,Wyjść.,german,2D,86
1583,Wysłać.,polish,IMAX,86
2509,Występować.,polish,3D,86
6453,Wysyłać słodki.,spanish,3D,86
1339,Wytwarzać fabryka.,german,2D,86
3792,Zajmować.,spanish,3D,86
319,Zaraz fala.,spanish,IMAX,86
4153,Zbiór miejscowość.,german,3D,86
2779,Zdolny możliwy.,spanish,2D,86
6118,Zdolny urząd.,german,3D,86
9930,Zdrowy radiowy.,spanish,2D,86
1841,Zgodnie.,spanish,IMAX,86
9273,Znak czynnik.,spanish,3D,86
9921,Znów zwycięstwo.,german,2D,86
4830,Zobaczyć wnętrze.,english,IMAX,86
2017,Zrobić nie.,english,3D,86
3502,Zwrot należeć.,polish,3D,86
3832,Żeński.,english,3D,86
514,? igła.,polish,2D,85
6194,4 zamieszkiwać.,english,2D,85
3874,900 gwiazda.,german,IMAX,85
1243,Artysta.,german,3D,85
1467,Atmosfera.,german,3D,85
2927,Broda sytuacja.,german,IMAX,85
3160,Brzuch.,polish,IMAX,85
328,Cały wojskowy.,english,2D,85
4650,Chmura.,spanish,IMAX,85
6096,Cichy.,spanish,IMAX,85
3086,Ciepło prywatny.,spanish,IMAX,85
8805,Czekolada zatoka.,polish,IMAX,85
8820,Czerwiec powód.,spanish,3D,85
7470,Czyjś.,spanish,IMAX,85
9748,Czysty.,spanish,3D,85
1928,Dla.,german,IMAX,85
2409,Duński.,polish,IMAX,85
4625,Dusza prosty.,german,3D,85
5795,Dużo.,spanish,3D,85
4908,Dużo.,spanish,IMAX,85
6048,Dwanaście.,spanish,2D,85
4623,Dzisiejszy firma.,german,IMAX,85
7995,Finansowy.,english,IMAX,85
3684,Gałąź zamiar.,german,2D,85
7723,Gardło.,polish,2D,85
7230,Grecja historia.,spanish,IMAX,85
8482,Grzyb.,english,3D,85
4940,I kapelusz.,english,IMAX,85
2198,Jak.,polish,3D,85
3444,Jaki.,english,2D,85
844,Jan.,english,2D,85
9481,Jedyny.,english,IMAX,85
3490,Jeżeli.,english,IMAX,85
3620,Język ten.,spanish,IMAX,85
5573,Kanał.,english,2D,85
4006,Kilka zazwyczaj.,spanish,2D,85
1671,Kilka.,english,IMAX,85
1208,Kosztować.,english,IMAX,85
4717,Las.,polish,2D,85
859,List można.,polish,3D,85
5010,Lista.,german,IMAX,85
5936,Litwa.,german,2D,85
8838,Łatwy.,spanish,2D,85
8402,Majuskuła kara.,german,IMAX,85
7843,Małpa smutny.,english,3D,85
1224,Mąka posługiwać się.,spanish,2D,85
7373,Męski wstyd.,polish,2D,85
2997,Minuta drużyna.,german,IMAX,85
5263,Modlitwa.,english,2D,85
294,Możliwość robić.,english,IMAX,85
5416,Muzeum istota.,german,2D,85
5830,Muzyka Słońce.,english,IMAX,85
2341,My wszyscy.,english,2D,85
9173,My.,english,IMAX,85
6927,Narzędzie.,polish,IMAX,85
6027,Naukowy.,english,IMAX,85
3354,Odczuwać prasa.,english,3D,85
9695,Odważny.,spanish,IMAX,85
9398,Okazja podnieść.,english,3D,85
6075,Okno instytucja.,english,IMAX,85
5544,One.,german,3D,85
2074,Opisać.,german,3D,85
660,Organizacja.,spanish,3D,85
2500,Otrzymywać obrót.,spanish,IMAX,85
165,Owca Żyd.,english,IMAX,85
5749,Panna określony.,spanish,IMAX,85
7349,Pewny efekt.,spanish,3D,85
1686,Piątek bok.,polish,IMAX,85
3392,Piec stawiać.,polish,IMAX,85
8312,Pierwiastek.,english,IMAX,85
4488,Planeta sobie.,polish,IMAX,85
7919,Plemię dziewczynka.,german,3D,85
982,Pływać.,spanish,IMAX,85
6166,Poduszka adres.,spanish,IMAX,85
4188,Pogląd związać.,german,IMAX,85
1616,Ponieważ.,polish,IMAX,85
5296,Postępowanie.,german,2D,85
8653,Potrzebny.,german,2D,85
884,Powstać.,polish,IMAX,85
8613,Prawda.,german,3D,85
7606,Produkt.,spanish,3D,85
2570,Prowadzić.,english,2D,85
5497,Przebywać pozycja.,german,IMAX,85
3098,Przed przyjęcie.,english,3D,85
5631,Przejaw.,german,3D,85
5372,Przepis.,german,IMAX,85
4047,Przyjmować.,spanish,3D,85
8198,Przyprawa.,spanish,3D,85
4063,Przyszłość.,german,2D,85
5239,Relacja bilet.,spanish,IMAX,85
3512,Rosnąć.,spanish,3D,85
6388,Rosyjski.,polish,IMAX,85
8574,Róg.,german,IMAX,85
4311,Również.,spanish,3D,85
5301,Rumunia rana.,german,IMAX,85
5654,Rysunek.,spanish,IMAX,85
6908,Sala pierwszy.,english,IMAX,85
4083,Sąd ksiądz.,spanish,3D,85
3763,Skala czterdzieści.,spanish,IMAX,85
241,Skład.,spanish,IMAX,85
