Id kina,Adres,Przychody z biletów
483,"Rzeszów, ul. Fredry 29",10508.50
323,"Płońsk, ul. Broniewskiego 11",10498.30
269,"Czeladź, ul. Toruńska 15",10452.05
348,"Zduńska Wola, ul. Fredry 14",10413.25
69,"Gorlice, ul. Bukowa 12",10392.70
316,"Bielsk Podlaski, ul. Jarzębinowa 15",10297.50
28,"Ostrowiec Świętokrzyski, ul. Lipowa 3",10297.10
160,"Kwidzyn, ul. Azaliowa 14",10284.65
455,"Lublin, ul. Wspólna 27",10281.65
285,"Płock, ul. Kwiatowa 14",10243.40
330,"Olsztyn, ul. Szkolna 10",10240.70
431,"Wieluń, ul. Chełmońskiego 9",10111.35
286,"Płońsk, ul. Staszica 21",9898.45
140,"Poznań, ul. Matejki 10",9884.30
406,"Tarnobrzeg, ul. Powstańców Śląskich 17",9870.25
485,"Lębork, ul. Ludowa 21",9821.65
196,"Jarosław, ul. Rubinowa 28",9814.25
12,"Gliwice, ul. Niepodległości 9",9782.55
419,"Goleniów, ul. Maczka 19",9762.35
359,"Mikołów, ul. Graniczna 18",9743.95
74,"Piaseczno, ul. Chabrowa 17",9731.55
374,"Kraków, ul. Jastrzębia 4",9675.30
352,"Żagań, ul. Solidarnosci 27",9674.00
215,"Płock, ul. Dolna 29",9643.30
395,"Inowrocław, ul. Krasickiego 13",9639.55
49,"Bielsko-Biała, ul. Ogrodowa 25",9566.70
153,"Dzierżoniów, ul. Rolnicza 8",9530.75
195,"Racibórz, ul. Szczęśliwa 10",9527.70
353,"Żary, ul. Nałkowskiej 3",9512.80
326,"Bełchatów, ul. Lawendowa 7",9462.25
38,"Jasło, ul. Pogodna 19",9454.30
4,"Sosnowiec, ul. Agrestowa 7",9393.80
334,"Zabrze, ul. Stycznia 12",9371.20
500,"Ostrów Mazowiecka, ul. Popiełuszki 10",9359.50
118,"Łuków, ul. Powstańców Wielkopolskich 28",9299.90
213,"Sieradz, ul. Szeroka 13",9220.25
42,"Zambrów, ul. Jaskółcza 2",9184.05
104,"Czeladź, ul. Szarych Szeregów 30",9161.85
392,"Jelenia Góra, ul. Przechodnia 29",9150.70
138,"Sochaczew, ul. Jeżynowa 9",9125.35
294,"Gorlice, ul. Promienna 16",9125.00
113,"Gorzów Wielkopolski, ul. Jana Pawła II 11",9115.60
439,"Zambrów, ul. Narcyzowa 18",9109.90
165,"Kluczbork, ul. Sarnia 30",9109.15
55,"Szczecin, ul. Długosza 25",9097.15
111,"Jastrzębie-Zdrój, ul. Pocztowa 22",9085.55
442,"Zambrów, ul. Żurawia 20",9031.45
93,"Stalowa Wola, ul. Wiśniowa 9",9011.65
280,"Zawiercie, ul. Bolesława Chrobrego 19",9010.95
250,"Chełm, ul. Średnia 2",8963.35
293,"Zduńska Wola, ul. Ludowa 18",8950.45
194,"Żary, ul. Tęczowa 16",8891.45
378,"Skawina, ul. Sybiraków 12",8848.15
262,"Toruń, ul. Reja 22",8847.40
131,"Świnoujście, ul. Podmiejska 8",8809.30
398,"Płońsk, ul. Okrężna 21",8806.15
48,"Śrem, ul. Tartaczna 25",8793.15
246,"Ostrów Mazowiecka, ul. Sarnia 21",8787.05
88,"Nowy Sącz, ul. Wiosenna 12",8759.25
370,"Ełk, ul. Chabrowa 26",8729.45
291,"Goleniów, ul. Klonowa 28",8679.20
8,"Bydgoszcz, ul. Niepodległości 3",8661.40
373,"Świecie, ul. Robotnicza 22",8652.25
342,"Kętrzyn, ul. Dąbrowskiego 14",8614.85
232,"Białogard, ul. Jana Pawła II 28",8600.65
451,"Czerwionka-Leszczyny, ul. Słonecznikowa 26",8594.60
465,"Biała Podlaska, ul. Kalinowa 25",8520.90
20,"Marki, ul. Okrężna 13",8498.70
27,"Tychy, ul. Mickiewicza 18",8448.50
53,"Przemyśl, ul. Pocztowa 8",8391.40
397,"Bełchatów, ul. Żwirki i Wigury 18",8379.25
216,"Rumia, ul. Witosa 2",8377.60
75,"Mielec, ul. Mokra 22",8374.10
207,"Płońsk, ul. Mieszka I 7",8371.40
71,"Krotoszyn, ul. Pocztowa 30",8361.90
297,"Białystok, ul. Orzechowa 30",8360.45
68,"Katowice, ul. Zakątek 22",8358.40
37,"Brzeg, ul. Jesionowa 17",8356.25
263,"Starogard Gdański, ul. Kochanowskiego 21",8313.40
418,"Ciechanów, ul. Żabia 26",8296.05
73,"Sopot, ul. Odrzańska 5",8294.40
434,"Brzeg, ul. Strażacka 12",8283.85
94,"Wołomin, ul. Stolarska 1",8268.45
443,"Rybnik, ul. Radosna 18",8231.85
159,"Świdnica, ul. Grzybowa 7",8223.85
192,"Gdynia, ul. Zachodnia 24",8223.70
470,"Środa Wielkopolska, ul. Grottgera 24",8212.20
381,"Bielsk Podlaski, ul. Kolorowa 29",8185.85
473,"Żyrardów, ul. Wierzbowa 23",8183.80
274,"Chełm, ul. Bydgoska 23",8151.75
63,"Knurów, ul. Olchowa 7",8127.80
427,"Jarocin, ul. Krakowska 12",8089.40
386,"Suwałki, ul. Sowia 22",8070.95
312,"Oława, ul. Królewska 22",8053.35
57,"Szczytno, ul. Odrzańska 22",8041.50
52,"Ełk, ul. Źródlana 2",8029.95
426,"Zabrze, ul. Chmielna 13",8018.10
211,"Elbląg, ul. Jaworowa 12",8014.65
422,"Pabianice, ul. Nowa 6",8013.80
409,"Gliwice, ul. Bolesława Krzywoustego 23",8009.10
10,"Tarnobrzeg, ul. Warszawska 6",7999.90
59,"Sanok, ul. Ptasia 8",7974.25
390,"Nysa, ul. Narutowicza 30",7961.55
471,"Augustów, ul. Skośna 6",7960.45
497,"Głogów, ul. Jałowcowa 29",7943.55
58,"Zabrze, ul. Ściegiennego 1",7934.65
423,"Płońsk, ul. Młyńska 16",7933.70
147,"Wałcz, ul. Olchowa 5",7902.45
333,"Kalisz, ul. Szmaragdowa 15",7901.05
41,"Oleśnica, ul. Brzozowa 10",7895.95
272,"Płońsk, ul. Piastowska 9",7886.25
67,"Będzin, ul. Piastowska 27",7854.25
5,"Jasło, ul. Wrzosowa 30",7824.60
260,"Świdnik, ul. Stroma 14",7822.80
95,"Jarosław, ul. Dworska 11",7819.50
249,"Kalisz, ul. Rzeczna 8",7800.55
14,"Siedlce, ul. Maczka 23",7787.85
328,"Stalowa Wola, ul. Ptasia 25",7772.45
230,"Mielec, ul. Tysiąclecia 2",7772.30
226,"Warszawa, ul. Królewska 19",7756.85
102,"Lubliniec, ul. Topolowa 20",7747.85
305,"Piła, ul. Kolorowa 13",7746.35
172,"Konin, ul. Koralowa 6",7726.15
292,"Mińsk Mazowiecki, ul. Makowa 9",7701.80
329,"Bielawa, ul. Tylna 14",7683.05
424,"Świebodzice, ul. Powstańców 28",7681.90
156,"Pabianice, ul. Narutowicza 26",7663.00
26,"Olsztyn, ul. Średnia 3",7659.65
176,"Łaziska Górne, ul. Długa 21",7619.75
420,"Kościerzyna, ul. Dobra 19",7523.85
124,"Sieradz, ul. Wodna 2",7515.45
454,"Kraśnik, ul. Zielona 5",7511.45
364,"Mikołów, ul. Wyszyńskiego 7",7490.50
173,"Sanok, ul. Kolonia 18",7408.00
21,"Wejherowo, ul. Rolnicza 19",7380.85
447,"Białogard, ul. Kaszubska 20",7341.05
415,"Tarnów, ul. Zaciszna 14",7331.00
281,"Bełchatów, ul. Rzemieślnicza 2",7294.80
109,"Płońsk, ul. Borowa 3",7281.05
361,"Ostróda, ul. Jaśminowa 12",7257.25
3,"Nowy Sącz, ul. Młynarska 28",7247.00
24,"Kraśnik, ul. Sosnowa 21",7230.65
377,"Iława, ul. Ciasna 15",7218.25
91,"Piła, ul. Polna 24",7215.55
304,"Starogard Gdański, ul. Azaliowa 13",7214.85
204,"Tychy, ul. Broniewskiego 14",7207.80
220,"Jastrzębie-Zdrój, ul. Orla 30",7195.30
261,"Lubartów, ul. Ludowa 8",7194.65
413,"Kościan, ul. Willowa 25",7184.00
403,"Suwałki, ul. Wojciecha 24",7173.60
115,"Bielsko-Biała, ul. Agrestowa 21",7169.20
253,"Świętochłowice, ul. Górska 12",7123.30
170,"Brzeg, ul. Kilińskiego 18",7051.40
9,"Białogard, ul. Górska 24",7049.65
336,"Kluczbork, ul. Krótka 23",7026.00
417,"Łowicz, ul. Wyszyńskiego 16",7014.30
76,"Częstochowa, ul. Boczna 30",7011.45
39,"Mińsk Mazowiecki, ul. Sienkiewicza 18",7003.95
98,"Marki, ul. Agrestowa 27",6993.85
469,"Racibórz, ul. Reymonta 20",6983.80
475,"Mikołów, ul. Żytnia 9",6978.65
290,"Inowrocław, ul. Piękna 6",6975.60
125,"Radom, ul. Borówkowa 5",6960.40
234,"Katowice, ul. Zapolskiej 23",6944.15
449,"Krotoszyn, ul. Jana 7",6934.15
400,"Police, ul. Morelowa 15",6927.90
96,"Puławy, ul. Długa 24",6874.05
384,"Myszków, ul. Korfantego 3",6856.70
157,"Puławy, ul. Perłowa 18",6837.75
349,"Szczecin, ul. Szczęśliwa 14",6823.75
273,"Jawor, ul. Baczynskiego 4",6810.70
356,"Kołobrzeg, ul. Opolska 21",6752.50
496,"Olkusz, ul. Władysława Jagiełły 17",6709.80
155,"Starogard Gdański, ul. Ogrodowa 29",6707.00
168,"Bydgoszcz, ul. Malczewskiego 25",6694.60
164,"Dębica, ul. Solidarnosci 1",6688.75
393,"Zgorzelec, ul. Kusocińskiego 6",6652.40
339,"Grodzisk Mazowiecki, ul. Gałczynskiego 11",6630.35
264,"Oleśnica, ul. Wrocławska 2",6606.40
332,"Luboń, ul. Truskawkowa 2",6602.85
319,"Świnoujście, ul. Bociania 17",6577.15
61,"Zgierz, ul. Listopada 18",6567.00
296,"Warszawa, ul. Władysława Łokietka 6",6547.60
18,"Stalowa Wola, ul. Wrzosowa 4",6523.40
22,"Szczecin, ul. Graniczna 21",6506.05
371,"Tarnów, ul. Promienna 30",6500.10
92,"Świdnica, ul. Maja 18",6481.40
126,"Bolesławiec, ul. Podmiejska 4",6447.75
180,"Piła, ul. Dobra 21",6434.80
219,"Piotrków Trybunalski, ul. Dojazdowa 14",6415.65
459,"Katowice, ul. Sportowa 25",6393.35
367,"Lębork, ul. Stroma 13",6370.35
247,"Świnoujście, ul. Urocza 18",6360.80
396,"Środa Wielkopolska, ul. Podwale 4",6328.55
440,"Bolesławiec, ul. Działkowa 26",6251.25
271,"Skawina, ul. Pocztowa 10",6239.85
162,"Ełk, ul. Andersa 16",6225.65
151,"Zakopane, ul. Graniczna 11",6199.70
365,"Legionowo, ul. Graniczna 6",6184.85
494,"Brodnica, ul. Owocowa 15",6179.20
141,"Zielona Góra, ul. Działkowa 11",6157.25
478,"Żory, ul. Łączna 6",6154.90
85,"Knurów, ul. Irysowa 20",6114.15
435,"Piła, ul. Piwna 27",6092.20
303,"Warszawa, ul. Boczna 2",6067.40
318,"Wrocław, ul. Szczęśliwa 15",6029.65
457,"Czerwionka-Leszczyny, ul. Rzemieślnicza 9",6021.10
119,"Kędzierzyn-Koźle, ul. Żurawia 19",6004.25
467,"Malbork, ul. Willowa 1",5993.10
150,"Ząbki, ul. Lipowa 15",5988.50
177,"Żywiec, ul. Żwirki i Wigury 6",5941.20
298,"Zakopane, ul. Częstochowska 24",5934.50
295,"Rybnik, ul. Zbożowa 19",5920.00
376,"Jelenia Góra, ul. Krasickiego 5",5915.40
209,"Kraków, ul. Dolna 7",5893.75
391,"Płońsk, ul. Leśna 1",5882.55
275,"Rzeszów, ul. Wróblewskiego 17",5879.50
498,"Piła, ul. Żeromskiego 12",5877.60
453,"Jasło, ul. Listopada 23",5866.40
77,"Sochaczew, ul. Lubelska 6",5864.10
307,"Legionowo, ul. Piaskowa 19",5846.55
375,"Jaworzno, ul. Lubelska 27",5808.40
208,"Rybnik, ul. Skrajna 11",5802.90
144,"Sosnowiec, ul. Krzywa 3",5795.90
368,"Koszalin, ul. Rumiankowa 28",5791.85
495,"Zabrze, ul. Kolonia 15",5791.05
456,"Olsztyn, ul. Młyńska 18",5772.05
87,"Czeladź, ul. Władysława Łokietka 2",5770.15
317,"Oleśnica, ul. Strzelecka 1",5756.40
239,"Białystok, ul. Borówkowa 19",5756.00
105,"Jastrzębie-Zdrój, ul. Wiśniowa 17",5741.30
191,"Pabianice, ul. Moniuszki 4",5702.30
302,"Szczytno, ul. Krasińskiego 19",5696.00
89,"Jelenia Góra, ul. Zakole 22",5689.35
385,"Płońsk, ul. Wojska Polskiego 4",5668.55
287,"Wołomin, ul. Piwna 17",5668.55
343,"Katowice, ul. Pułaskiego 8",5653.20
56,"Zielona Góra, ul. Warszawska 27",5647.85
344,"Bochnia, ul. Lipca 15",5630.65
120,"Czerwionka-Leszczyny, ul. Podleśna 5",5557.80
476,"Pszczyna, ul. Ceglana 6",5532.15
182,"Kętrzyn, ul. Kochanowskiego 25",5529.30
379,"Biłgoraj, ul. Zapolskiej 1",5509.65
227,"Oleśnica, ul. Traugutta 19",5502.05
492,"Legionowo, ul. Klonowa 7",5491.40
218,"Częstochowa, ul. Orzechowa 17",5461.85
337,"Dąbrowa Górnicza, ul. Bolesława Chrobrego 16",5423.70
47,"Szczytno, ul. Klonowa 20",5413.05
23,"Bochnia, ul. Lelewela 26",5390.00
401,"Czeladź, ul. Stefana Batorego 19",5386.20
351,"Konin, ul. Zamkowa 25",5364.20
360,"Kalisz, ul. Powstańców 18",5360.20
116,"Świdnica, ul. Miła 1",5338.55
438,"Świebodzice, ul. Wrzosowa 2",5276.30
388,"Stalowa Wola, ul. Zaułek 16",5269.25
51,"Ostrów Mazowiecka, ul. Powstańców Śląskich 7",5267.70
72,"Opole, ul. Okrężna 30",5225.90
121,"Chrzanów, ul. Składowa 30",5202.75
136,"Dzierżoniów, ul. Stolarska 24",5201.30
266,"Ostrowiec Świętokrzyski, ul. Krakowska 5",5191.00
188,"Płońsk, ul. Wiosenna 19",5174.95
441,"Augustów, ul. Wesoła 7",5164.90
198,"Grudziądz, ul. Miłosza 19",5143.95
338,"Świdnik, ul. Krucza 11",5143.15
346,"Lubartów, ul. Bolesława Chrobrego 29",5125.35
145,"Lubin, ul. Makowa 9",5125.10
203,"Kalisz, ul. Rajska 6",5118.55
40,"Toruń, ul. Kruczkowskiego 25",5114.95
167,"Rzeszów, ul. Stycznia 18",5110.30
366,"Otwock, ul. Reymonta 5",5091.15
122,"Puławy, ul. Drzymały 24",5085.80
480,"Chełm, ul. Owocowa 30",5062.95
411,"Wałcz, ul. Jałowcowa 13",5042.95
80,"Kalisz, ul. Handlowa 10",5036.35
31,"Mysłowice, ul. Wysoka 23",5030.65
25,"Wrocław, ul. Chmielna 14",5013.05
152,"Nowy Targ, ul. Nałkowskiej 6",5012.65
82,"Ostrów Mazowiecka, ul. Wróblewskiego 13",4981.20
308,"Kościerzyna, ul. Srebrna 1",4977.95
197,"Police, ul. Cedrowa 30",4950.70
2,"Tarnowskie Góry, ul. Kościuszki 19",4947.10
221,"Głogów, ul. Waryńskiego 23",4944.80
123,"Ostrów Mazowiecka, ul. Wałowa 5",4943.40
86,"Szczecinek, ul. Pomorska 12",4932.50
46,"Płońsk, ul. Młyńska 3",4929.25
181,"Tarnobrzeg, ul. Mazurska 27",4929.05
13,"Kraków, ul. Łanowa 14",4910.55
436,"Leszno, ul. Sosnowa 23",4870.30
276,"Inowrocław, ul. Drzymały 10",4833.10
212,"Tczew, ul. Powstańców 11",4807.90
300,"Sochaczew, ul. Owocowa 1",4805.70
444,"Siedlce, ul. Kaliska 30",4786.20
243,"Kłodzko, ul. Bukowa 4",4757.10
462,"Głogów, ul. Irysowa 22",4734.90
354,"Kędzierzyn-Koźle, ul. Azaliowa 10",4721.50
363,"Pruszków, ul. Bociania 6",4696.40
394,"Stalowa Wola, ul. Chmielna 20",4694.55
231,"Tarnowskie Góry, ul. Narutowicza 26",4694.05
488,"Pabianice, ul. Szafirowa 2",4673.75
458,"Oława, ul. Zielna 19",4662.05
200,"Radomsko, ul. Widok 8",4634.80
206,"Marki, ul. Wrocławska 26",4537.85
235,"Biała Podlaska, ul. Bolesława Chrobrego 8",4488.50
199,"Otwock, ul. Lipca 11",4469.45
210,"Gorzów Wielkopolski, ul. Cedrowa 11",4461.60
255,"Ciechanów, ul. Tysiąclecia 24",4437.85
460,"Iława, ul. Lwowska 10",4434.65
186,"Sanok, ul. Strzelecka 25",4419.25
166,"Koszalin, ul. Kilińskiego 8",4415.45
402,"Nysa, ul. Orzechowa 23",4413.10
16,"Gorzów Wielkopolski, ul. Północna 23",4397.10
133,"Knurów, ul. Paderewskiego 25",4388.90
347,"Gdynia, ul. Maja 20",4354.90
412,"Augustów, ul. Narutowicza 2",4352.25
179,"Łomża, ul. Lisia 12",4341.50
283,"Mysłowice, ul. Dąbrowskiego 6",4329.80
499,"Świętochłowice, ul. Ściegiennego 1",4299.90
450,"Gliwice, ul. Jagiellońska 8",4226.50
279,"Kętrzyn, ul. Cegielniana 24",4222.50
479,"Łuków, ul. Jabłoniowa 24",4211.80
137,"Białystok, ul. Kolejowa 12",4192.20
463,"Kętrzyn, ul. Cmentarna 18",4177.50
15,"Bytom, ul. Topolowa 6",4174.15
433,"Środa Wielkopolska, ul. Widok 17",4085.05
158,"Łaziska Górne, ul. Łączna 14",4072.65
222,"Gdańsk, ul. Narcyzowa 27",4058.45
306,"Tomaszów Mazowiecki, ul. Kossaka 21",4055.00
64,"Włocławek, ul. Wolności 19",4027.65
464,"Swarzędz, ul. Mokra 1",4023.90
288,"Świnoujście, ul. Krzywa 17",4023.75
301,"Szczecin, ul. Piwna 16",4007.20
407,"Polkowice, ul. Narutowicza 14",3999.45
267,"Nowa Ruda, ul. Reymonta 19",3998.00
6,"Siedlce, ul. Wąska 5",3971.85
362,"Tarnów, ul. Staffa 27",3899.50
139,"Kraśnik, ul. Jasna 9",3897.85
258,"Nowa Ruda, ul. Graniczna 30",3878.55
428,"Rzeszów, ul. Lazurowa 12",3854.35
425,"Sochaczew, ul. Długosza 11",3841.55
100,"Zduńska Wola, ul. Przechodnia 16",3834.55
134,"Giżycko, ul. Kraszewskiego 6",3790.80
1,"Malbork, ul. Modrzewiowa 22",3778.75
405,"Zgierz, ul. Sybiraków 18",3757.05
163,"Bełchatów, ul. Kowalska 13",3724.70
236,"Tomaszów Mazowiecki, ul. Irysowa 7",3717.75
369,"Mysłowice, ul. Mała 12",3702.70
66,"Iława, ul. Krucza 5",3690.20
278,"Poznań, ul. Kochanowskiego 20",3672.30
289,"Opole, ul. Żurawia 24",3632.50
345,"Kutno, ul. Kraszewskiego 29",3616.95
445,"Swarzędz, ul. Jagiellońska 5",3605.10
324,"Oława, ul. Szkolna 6",3603.65
372,"Radom, ul. Korfantego 8",3581.95
446,"Reda, ul. Podmiejska 9",3571.10
33,"Września, ul. Malczewskiego 25",3559.90
432,"Myszków, ul. Staszica 17",3549.80
50,"Starachowice, ul. Okrężna 7",3542.65
146,"Bielawa, ul. Topolowa 8",3541.80
358,"Otwock, ul. Kusocińskiego 27",3535.85
466,"Puławy, ul. Podwale 11",3515.45
19,"Tczew, ul. Jeziorna 23",3509.55
357,"Tychy, ul. Gołębia 17",3506.90
185,"Żary, ul. Rynek 4",3480.85
193,"Ząbki, ul. Sosnowa 5",3472.85
299,"Gniezno, ul. Podmiejska 8",3466.55
257,"Lębork, ul. Północna 12",3462.85
84,"Szczecin, ul. Daszyńskiego 6",3456.40
101,"Polkowice, ul. Hallera 29",3451.50
130,"Otwock, ul. Jagiellońska 15",3427.75
331,"Skawina, ul. Popiełuszki 5",3416.60
112,"Inowrocław, ul. Wysoka 15",3413.05
474,"Zakopane, ul. Chełmońskiego 28",3410.90
437,"Skawina, ul. Podleśna 26",3405.95
90,"Lublin, ul. Jana III Sobieskiego 6",3401.90
487,"Chojnice, ul. Kilińskiego 15",3321.95
103,"Szczecin, ul. Czereśniowa 22",3317.10
154,"Wrocław, ul. Chmielna 5",3287.80
65,"Kościan, ul. Konwaliowa 11",3266.70
229,"Nowa Sól, ul. Górnicza 4",3231.95
129,"Wrocław, ul. Sosnowa 23",3226.05
314,"Szczytno, ul. Lipowa 29",3225.70
310,"Bełchatów, ul. Prusa 20",3205.65
183,"Jaworzno, ul. Szafirowa 26",3199.40
54,"Police, ul. Wspólna 5",3178.75
117,"Środa Wielkopolska, ul. Bursztynowa 11",3166.50
32,"Czeladź, ul. Lazurowa 9",3161.65
452,"Wejherowo, ul. Wierzbowa 15",3154.85
284,"Lębork, ul. Dolna 29",3062.90
252,"Pszczyna, ul. Prosta 4",3060.70
79,"Piastów, ul. Wałowa 22",3038.60
491,"Piotrków Trybunalski, ul. Sucharskiego 19",3034.30
169,"Szczytno, ul. Warszawska 15",3019.00
45,"Nowa Sól, ul. Osiedlowa 30",3016.05
148,"Łomża, ul. Dobra 21",2986.25
248,"Środa Wielkopolska, ul. Błękitna 9",2963.70
190,"Sopot, ul. Jaworowa 29",2949.80
83,"Ostróda, ul. Zbożowa 22",2948.40
341,"Piaseczno, ul. Szmaragdowa 16",2938.00
486,"Bielawa, ul. Kasprowicza 6",2917.80
201,"Bielsk Podlaski, ul. Kielecka 21",2906.40
127,"Gniezno, ul. Długosza 3",2903.40
387,"Tomaszów Mazowiecki, ul. Bydgoska 4",2890.40
416,"Stalowa Wola, ul. Rzeczna 11",2889.40
322,"Świętochłowice, ul. Solidarnosci 5",2873.40
244,"Lubliniec, ul. Mostowa 1",2861.65
142,"Legnica, ul. Browarna 14",2826.55
106,"Starachowice, ul. Nałkowskiej 24",2765.15
315,"Piastów, ul. Borowa 8",2758.10
81,"Oława, ul. Chmielna 30",2745.45
224,"Grodzisk Mazowiecki, ul. Wodna 3",2741.25
78,"Kołobrzeg, ul. Świerczewskiego 2",2727.85
484,"Chojnice, ul. Klonowa 12",2719.10
178,"Czeladź, ul. Orzeszkowej 2",2707.40
174,"Sanok, ul. Widokowa 20",2705.70
36,"Leszno, ul. Daleka 8",2702.40
228,"Goleniów, ul. Agrestowa 23",2689.40
408,"Olkusz, ul. Zakole 28",2676.05
481,"Ruda Śląska, ul. Kaszubska 26",2665.55
380,"Racibórz, ul. Majowa 3",2656.80
268,"Rybnik, ul. Leszczynowa 2",2642.60
355,"Skawina, ul. Wyszyńskiego 1",2610.40
383,"Żyrardów, ul. Żwirowa 11",2566.45
309,"Inowrocław, ul. Akacjowa 22",2544.70
335,"Pruszcz Gdański, ul. Sokola 27",2493.50
245,"Marki, ul. Tysiąclecia 4",2481.85
187,"Rumia, ul. Leśna 13",2419.90
108,"Świebodzice, ul. Szarych Szeregów 21",2380.80
256,"Stargard Szczeciński, ul. Willowa 14",2377.90
132,"Sandomierz, ul. Władysława Łokietka 9",2360.75
350,"Rybnik, ul. Kalinowa 11",2311.80
34,"Kluczbork, ul. Poniatowskiego 26",2215.85
259,"Pabianice, ul. Pogodna 9",2143.10
472,"Katowice, ul. Mazowiecka 10",2136.35
233,"Gorzów Wielkopolski, ul. Podmiejska 30",2049.45
482,"Lębork, ul. Rybacka 22",2031.25
60,"Mysłowice, ul. Górna 5",2014.35
44,"Świdnik, ul. Powstańców Śląskich 5",1991.25
225,"Lubliniec, ul. Kossaka 15",1989.00
414,"Legionowo, ul. Stefana Batorego 9",1956.60
410,"Świdnik, ul. Wyspiańskiego 6",1872.10
238,"Radom, ul. Porzeczkowa 3",1867.75
7,"Sochaczew, ul. Wróblewskiego 4",1750.80
468,"Polkowice, ul. Jagiellońska 4",1750.45
493,"Słupsk, ul. Andersa 22",1731.15
30,"Oświęcim, ul. Słowianska 2",1726.40
254,"Tomaszów Mazowiecki, ul. Wschodnia 12",1688.35
62,"Toruń, ul. Jadwigi 28",1670.00
161,"Jasło, ul. Fiołkowa 9",1620.15
282,"Chrzanów, ul. Daleka 17",1575.65
490,"Gdynia, ul. Słowackiego 1",1333.50
399,"Brodnica, ul. Azaliowa 20",1301.00
110,"Krosno, ul. Powstańców Śląskich 7",1213.40
461,"Police, ul. Owocowa 20",1152.55
217,"Iława, ul. Wiosenna 17",1133.95
448,"Brodnica, ul. Dąbrowskiego 19",466.15
