_id,city,street,building_number,total_ticket_income
180,Piła,Dobra,21,122896.30000000016
318,Wrocław,Szczęśliwa,15,122538.00000000028
37,Brzeg,Jesionowa,17,122006.1500000002
57,Szczytno,Odrzańska,22,121802.60000000024
447,Białogard,Kaszubska,20,120827.80000000013
391,Płońsk,Leśna,1,120607.20000000022
398,Płońsk,Okrężna,21,120527.20000000019
220,Jastrzębie-Zdrój,Orla,30,120303.1500000002
21,Wejherowo,Rolnicza,19,120278.25000000019
226,Warszawa,Królewska,19,120000.20000000019
153,Dzierżoniów,Rolnicza,8,119845.4000000002
194,Żary,Tęczowa,16,119586.95000000019
373,Świecie,Robotnicza,22,119359.85000000021
93,Stalowa Wola,Wiśniowa,9,118789.40000000014
58,Zabrze,Ściegiennego,1,118632.05000000024
442,Zambrów,Żurawia,20,118569.55000000016
150,Ząbki,Lipowa,15,118087.90000000017
379,Biłgoraj,Zapolskiej,1,117985.70000000016
5,Jasło,Wrzosowa,30,117365.20000000019
287,Wołomin,Piwna,17,117176.9500000002
349,Szczecin,Szczęśliwa,14,117061.85000000021
313,Sieradz,Niecała,15,116793.55000000022
158,Łaziska Górne,Łączna,14,116647.00000000023
67,Będzin,Piastowska,27,115859.20000000019
459,Katowice,Sportowa,25,115772.95000000022
2,Tarnowskie Góry,Kościuszki,19,115712.65000000017
182,Kętrzyn,Kochanowskiego,25,114786.05000000019
195,Racibórz,Szczęśliwa,10,114678.80000000019
85,Knurów,Irysowa,20,114430.05000000025
409,Gliwice,Bolesława Krzywoustego,23,114281.70000000019
346,Lubartów,Bolesława Chrobrego,29,114206.70000000019
417,Łowicz,Wyszyńskiego,16,113774.5500000002
275,Rzeszów,Wróblewskiego,17,113736.05000000022
374,Kraków,Jastrzębia,4,113183.60000000022
413,Kościan,Willowa,25,112565.00000000026
105,Jastrzębie-Zdrój,Wiśniowa,17,112179.10000000021
204,Tychy,Broniewskiego,14,111193.95000000022
125,Radom,Borówkowa,5,110918.35000000024
167,Rzeszów,Stycznia,18,110692.35000000025
20,Marki,Okrężna,13,110066.80000000019
188,Płońsk,Wiosenna,19,109840.70000000023
298,Zakopane,Częstochowska,24,109339.10000000024
234,Katowice,Zapolskiej,23,109232.10000000021
192,Gdynia,Zachodnia,24,108980.0000000002
478,Żory,Łączna,6,108523.50000000023
247,Świnoujście,Urocza,18,108505.85000000028
115,Bielsko-Biała,Agrestowa,21,108370.05000000022
332,Luboń,Truskawkowa,2,108289.15000000023
243,Kłodzko,Bukowa,4,108230.80000000025
495,Zabrze,Kolonia,15,108011.05000000022
141,Zielona Góra,Działkowa,11,107035.10000000027
403,Suwałki,Wojciecha,24,107023.10000000027
82,Ostrów Mazowiecka,Wróblewskiego,13,106785.2000000002
156,Pabianice,Narutowicza,26,106394.2000000002
3,Nowy Sącz,Młynarska,28,106319.05000000025
492,Legionowo,Klonowa,7,106270.85000000025
393,Zgorzelec,Kusocińskiego,6,105708.35000000024
402,Nysa,Orzechowa,23,105504.60000000024
152,Nowy Targ,Nałkowskiej,6,105430.00000000022
467,Malbork,Willowa,1,105312.10000000024
376,Jelenia Góra,Krasickiego,5,104983.10000000024
8,Bydgoszcz,Niepodległości,3,103993.25000000023
435,Piła,Piwna,27,103679.85000000024
219,Piotrków Trybunalski,Dojazdowa,14,103323.65000000026
155,Starogard Gdański,Ogrodowa,29,103241.15000000023
319,Świnoujście,Bociania,17,102856.3500000003
162,Ełk,Andersa,16,102695.6500000002
40,Toruń,Kruczkowskiego,25,102435.55000000022
360,Kalisz,Powstańców,18,102162.55000000022
59,Sanok,Ptasia,8,101762.75000000023
121,Chrzanów,Składowa,30,101724.20000000022
296,Warszawa,Władysława Łokietka,6,101676.55000000022
144,Sosnowiec,Krzywa,3,101559.60000000021
9,Białogard,Górska,24,101528.70000000024
51,Ostrów Mazowiecka,Powstańców Śląskich,7,101060.60000000024
369,Mysłowice,Mała,12,100577.45000000022
198,Grudziądz,Miłosza,19,100457.55000000025
334,Zabrze,Stycznia,12,100401.0500000002
401,Czeladź,Stefana Batorego,19,99995.90000000029
116,Świdnica,Miła,1,99770.30000000022
394,Stalowa Wola,Chmielna,20,99290.75000000023
436,Leszno,Sosnowa,23,99098.40000000024
339,Grodzisk Mazowiecki,Gałczynskiego,11,99048.40000000027
396,Środa Wielkopolska,Podwale,4,98851.65000000026
177,Żywiec,Żwirki i Wigury,6,98538.40000000026
371,Tarnów,Promienna,30,98319.70000000026
23,Bochnia,Lelewela,26,97846.90000000026
203,Kalisz,Rajska,6,97466.85000000025
164,Dębica,Solidarnosci,1,97301.85000000021
53,Przemyśl,Pocztowa,8,97195.15000000024
266,Ostrowiec Świętokrzyski,Krakowska,5,96751.75000000023
475,Mikołów,Żytnia,9,96744.30000000028
375,Jaworzno,Lubelska,27,96368.85000000022
89,Jelenia Góra,Zakole,22,96270.60000000025
72,Opole,Okrężna,30,96086.15000000024
343,Katowice,Pułaskiego,8,95989.50000000026
176,Łaziska Górne,Długa,21,95896.75000000026
56,Zielona Góra,Warszawska,27,95434.55000000025
292,Mińsk Mazowiecki,Makowa,9,95286.95000000024
18,Stalowa Wola,Wrzosowa,4,95068.60000000022
200,Radomsko,Widok,8,95066.35000000024
231,Tarnowskie Góry,Narutowicza,26,94982.80000000025
463,Kętrzyn,Cmentarna,18,94845.40000000021
426,Zabrze,Chmielna,13,94654.35000000021
273,Jawor,Baczynskiego,4,94325.25000000023
469,Racibórz,Reymonta,20,94181.85000000021
440,Bolesławiec,Działkowa,26,93731.05000000022
368,Koszalin,Rumiankowa,28,93363.20000000024
279,Kętrzyn,Cegielniana,24,93323.20000000023
168,Bydgoszcz,Malczewskiego,25,93018.45000000024
197,Police,Cedrowa,30,92900.70000000022
122,Puławy,Drzymały,24,92834.60000000024
366,Otwock,Reymonta,5,92834.40000000021
46,Płońsk,Młyńska,3,92784.60000000024
92,Świdnica,Maja,18,92321.45000000022
453,Jasło,Listopada,23,91989.15000000021
80,Kalisz,Handlowa,10,91724.10000000024
47,Szczytno,Klonowa,20,91487.80000000025
181,Tarnobrzeg,Mazurska,27,90745.45000000024
347,Gdynia,Maja,20,90472.60000000024
336,Kluczbork,Krótka,23,90412.55000000022
458,Oława,Zielna,19,90299.30000000022
400,Police,Morelowa,15,90278.00000000022
15,Bytom,Topolowa,6,90028.00000000023
498,Piła,Żeromskiego,12,89748.30000000022
136,Dzierżoniów,Stolarska,24,89668.30000000024
494,Brodnica,Owocowa,15,89564.20000000022
77,Sochaczew,Lubelska,6,88628.95000000022
464,Swarzędz,Mokra,1,88602.9000000002
344,Bochnia,Lipca,15,88189.30000000024
208,Rybnik,Skrajna,11,88184.1500000002
450,Gliwice,Jagiellońska,8,87772.05000000019
271,Skawina,Pocztowa,10,87638.70000000022
227,Oleśnica,Traugutta,19,87619.8000000002
145,Lubin,Makowa,9,86516.3500000002
441,Augustów,Wesoła,7,86509.35000000018
384,Myszków,Korfantego,3,86279.85000000021
87,Czeladź,Władysława Łokietka,2,85946.45000000022
308,Kościerzyna,Srebrna,1,85750.30000000018
199,Otwock,Lipca,11,85604.7500000002
212,Tczew,Powstańców,11,84889.05000000016
120,Czerwionka-Leszczyny,Podleśna,5,84830.55000000019
1,Malbork,Modrzewiowa,22,84563.15000000017
302,Szczytno,Krasińskiego,19,84355.25000000015
385,Płońsk,Wojska Polskiego,4,84024.95000000019
354,Kędzierzyn-Koźle,Azaliowa,10,83639.35000000018
351,Konin,Zamkowa,25,83258.80000000019
25,Wrocław,Chmielna,14,83194.75000000022
221,Głogów,Waryńskiego,23,82777.80000000019
303,Warszawa,Boczna,2,82178.25000000019
16,Gorzów Wielkopolski,Północna,23,81799.10000000018
476,Pszczyna,Ceglana,6,81468.75000000016
388,Stalowa Wola,Zaułek,16,81175.45000000017
338,Świdnik,Krucza,11,81081.95000000022
288,Świnoujście,Krzywa,17,81064.35000000021
307,Legionowo,Piaskowa,19,80257.15000000018
206,Marki,Wrocławska,26,79772.75000000019
411,Wałcz,Jałowcowa,13,79462.80000000016
90,Lublin,Jana III Sobieskiego,6,79264.90000000017
236,Tomaszów Mazowiecki,Irysowa,7,79226.65000000015
154,Wrocław,Chmielna,5,79035.55000000016
146,Bielawa,Topolowa,8,77786.95000000019
365,Legionowo,Graniczna,6,77539.40000000014
222,Gdańsk,Narcyzowa,27,76698.30000000016
13,Kraków,Łanowa,14,76599.50000000017
137,Białystok,Kolejowa,12,76350.45000000013
479,Łuków,Jabłoniowa,24,76273.70000000016
32,Czeladź,Lazurowa,9,76254.40000000015
358,Otwock,Kusocińskiego,27,76107.55000000018
407,Polkowice,Narutowicza,14,75723.25000000015
31,Mysłowice,Wysoka,23,75410.55000000016
355,Skawina,Wyszyńskiego,1,75093.00000000015
460,Iława,Lwowska,10,74965.35000000015
462,Głogów,Irysowa,22,74686.80000000015
491,Piotrków Trybunalski,Sucharskiego,19,74519.45000000014
66,Iława,Krucza,5,74512.10000000014
480,Chełm,Owocowa,30,74298.80000000015
109,Płońsk,Borowa,3,74142.50000000015
438,Świebodzice,Wrzosowa,2,72285.50000000013
255,Ciechanów,Tysiąclecia,24,72237.60000000011
432,Myszków,Staszica,17,72040.70000000013
130,Otwock,Jagiellońska,15,71780.90000000013
412,Augustów,Narutowicza,2,71751.40000000013
123,Ostrów Mazowiecka,Wałowa,5,71464.80000000012
127,Gniezno,Długosza,3,71344.50000000013
210,Gorzów Wielkopolski,Cedrowa,11,71264.90000000013
276,Inowrocław,Drzymały,10,71201.95000000013
444,Siedlce,Kaliska,30,71037.05000000013
229,Nowa Sól,Górnicza,4,70382.8500000001
267,Nowa Ruda,Reymonta,19,70213.10000000014
283,Mysłowice,Dąbrowskiego,6,69975.95000000013
166,Koszalin,Kilińskiego,8,69436.55000000012
362,Tarnów,Staffa,27,68631.85000000012
428,Rzeszów,Lazurowa,12,67662.3500000001
481,Ruda Śląska,Kaszubska,26,67074.3500000001
317,Oleśnica,Strzelecka,1,66510.8000000001
300,Sochaczew,Owocowa,1,66080.90000000011
486,Bielawa,Kasprowicza,6,66040.95000000007
414,Legionowo,Stefana Batorego,9,66002.00000000009
258,Nowa Ruda,Graniczna,30,65917.30000000009
36,Leszno,Daleka,8,65871.65000000008
437,Skawina,Podleśna,26,65804.75000000009
185,Żary,Rynek,4,65711.95000000008
134,Giżycko,Kraszewskiego,6,65675.7000000001
408,Olkusz,Zakole,28,64739.450000000106
456,Olsztyn,Młyńska,18,64167.35000000009
191,Pabianice,Moniuszki,4,63895.85000000008
218,Częstochowa,Orzechowa,17,63571.80000000009
405,Zgierz,Sybiraków,18,63440.450000000106
488,Pabianice,Szafirowa,2,63109.05000000009
487,Chojnice,Kilińskiego,15,62877.40000000007
433,Środa Wielkopolska,Widok,17,62644.6000000001
324,Oława,Szkolna,6,62110.15000000007
425,Sochaczew,Długosza,11,62021.450000000055
179,Łomża,Lisia,12,61636.450000000055
228,Goleniów,Agrestowa,23,61557.10000000005
65,Kościan,Konwaliowa,11,60893.10000000006
472,Katowice,Mazowiecka,10,60743.35000000008
301,Szczecin,Piwna,16,60227.800000000076
133,Knurów,Paderewskiego,25,60208.30000000006
341,Piaseczno,Szmaragdowa,16,60175.50000000006
337,Dąbrowa Górnicza,Bolesława Chrobrego,16,59964.300000000076
174,Sanok,Widokowa,20,59615.40000000005
190,Sopot,Jaworowa,29,59437.10000000008
186,Sanok,Strzelecka,25,59369.450000000055
83,Ostróda,Zbożowa,22,58905.850000000064
314,Szczytno,Lipowa,29,58695.90000000005
466,Puławy,Podwale,11,58538.90000000006
357,Tychy,Gołębia,17,58429.900000000045
257,Lębork,Północna,12,58303.250000000065
331,Skawina,Popiełuszki,5,58254.75000000006
6,Siedlce,Wąska,5,58010.80000000003
148,Łomża,Dobra,21,57994.250000000044
278,Poznań,Kochanowskiego,20,57782.95000000007
299,Gniezno,Podmiejska,8,57519.55000000006
416,Stalowa Wola,Rzeczna,11,57506.15000000005
139,Kraśnik,Jasna,9,57345.35000000006
79,Piastów,Wałowa,22,57253.750000000044
499,Świętochłowice,Ściegiennego,1,56838.60000000004
445,Swarzędz,Jagiellońska,5,56680.000000000044
268,Rybnik,Leszczynowa,2,56562.00000000005
100,Zduńska Wola,Przechodnia,16,56245.000000000044
117,Środa Wielkopolska,Bursztynowa,11,56241.25000000005
235,Biała Podlaska,Bolesława Chrobrego,8,55720.90000000004
84,Szczecin,Daszyńskiego,6,55580.85000000005
183,Jaworzno,Szafirowa,26,55548.40000000004
54,Police,Wspólna,5,55113.10000000002
380,Racibórz,Majowa,3,54596.000000000044
306,Tomaszów Mazowiecki,Kossaka,21,54456.650000000016
484,Chojnice,Klonowa,12,53830.850000000035
363,Pruszków,Bociania,6,53674.30000000005
310,Bełchatów,Prusa,20,53612.45000000004
50,Starachowice,Okrężna,7,53436.750000000044
19,Tczew,Jeziorna,23,53394.05000000003
289,Opole,Żurawia,24,52966.700000000026
372,Radom,Korfantego,8,52497.90000000002
452,Wejherowo,Wierzbowa,15,52482.25000000003
101,Polkowice,Hallera,29,52452.90000000004
224,Grodzisk Mazowiecki,Wodna,3,52232.450000000026
86,Szczecinek,Pomorska,12,52137.750000000015
64,Włocławek,Wolności,19,52126.15000000001
106,Starachowice,Nałkowskiej,24,51902.20000000003
103,Szczecin,Czereśniowa,22,51568.35000000003
482,Lębork,Rybacka,22,51353.50000000004
238,Radom,Porzeczkowa,3,51202.00000000003
383,Żyrardów,Żwirowa,11,50792.600000000006
259,Pabianice,Pogodna,9,50266.35000000002
129,Wrocław,Sosnowa,23,50110.00000000001
493,Słupsk,Andersa,22,49452.350000000006
142,Legnica,Browarna,14,48548.95000000001
350,Rybnik,Kalinowa,11,47811.55
387,Tomaszów Mazowiecki,Bydgoska,4,47783.80000000001
112,Inowrocław,Wysoka,15,47773.40000000001
178,Czeladź,Orzeszkowej,2,47618.05000000002
256,Stargard Szczeciński,Willowa,14,47123.0
233,Gorzów Wielkopolski,Podmiejska,30,46458.1
474,Zakopane,Chełmońskiego,28,46245.8
490,Gdynia,Słowackiego,1,45768.25
244,Lubliniec,Mostowa,1,45703.50000000001
309,Inowrocław,Akacjowa,22,45470.55
245,Marki,Tysiąclecia,4,45268.25
315,Piastów,Borowa,8,44993.950000000004
132,Sandomierz,Władysława Łokietka,9,44903.15
468,Polkowice,Jagiellońska,4,44719.15000000001
322,Świętochłowice,Solidarnosci,5,44343.84999999999
34,Kluczbork,Poniatowskiego,26,43884.30000000001
446,Reda,Podmiejska,9,43684.649999999994
248,Środa Wielkopolska,Błękitna,9,43612.25
45,Nowa Sól,Osiedlowa,30,43338.94999999999
193,Ząbki,Sosnowa,5,43263.7
345,Kutno,Kraszewskiego,29,43161.549999999996
62,Toruń,Jadwigi,28,42719.84999999999
284,Lębork,Dolna,29,42347.15000000001
163,Bełchatów,Kowalska,13,42320.35
187,Rumia,Leśna,13,42091.40000000001
335,Pruszcz Gdański,Sokola,27,41981.5
33,Września,Malczewskiego,25,41973.95
81,Oława,Chmielna,30,41604.65
252,Pszczyna,Prosta,4,40577.2
169,Szczytno,Warszawska,15,40561.5
399,Brodnica,Azaliowa,20,40289.09999999999
44,Świdnik,Powstańców Śląskich,5,39453.15000000001
461,Police,Owocowa,20,38814.7
78,Kołobrzeg,Świerczewskiego,2,38211.74999999999
110,Krosno,Powstańców Śląskich,7,38193.5
201,Bielsk Podlaski,Kielecka,21,37967.0
225,Lubliniec,Kossaka,15,37244.45
108,Świebodzice,Szarych Szeregów,21,36640.399999999994
217,Iława,Wiosenna,17,36638.399999999994
7,Sochaczew,Wróblewskiego,4,36015.19999999998
448,Brodnica,Dąbrowskiego,19,33706.95
282,Chrzanów,Daleka,17,32135.299999999992
254,Tomaszów Mazowiecki,Wschodnia,12,32011.09999999999
60,Mysłowice,Górna,5,29093.649999999987
410,Świdnik,Wyspiańskiego,6,26735.24999999999
30,Oświęcim,Słowianska,2,25103.599999999988
161,Jasło,Fiołkowa,9,24005.249999999985
